LocationID,Province,City
1,Thành phố Hà Nội,Quận Ba Đình
2,Thành phố Hà Nội,Quận Hoàn Kiếm
3,Thành phố Hà Nội,Quận Tây Hồ
4,Thành phố Hà Nội,Quận Long Biên
5,Thành phố Hà Nội,Quận Cầu Giấy
6,Thành phố Hà Nội,Quận Đống Đa
7,Thành phố Hà Nội,Quận Hai Bà Trưng
8,Thành phố Hà Nội,Quận Hoàng Mai
9,Thành phố Hà Nội,Quận Thanh Xuân
16,Thành phố Hà Nội,Huyện Sóc Sơn
17,Thành phố Hà Nội,Huyện Đông Anh
18,Thành phố Hà Nội,Huyện Gia Lâm
19,Thành phố Hà Nội,Quận Nam Từ Liêm
20,Thành phố Hà Nội,Huyện Thanh Trì
21,Thành phố Hà Nội,Quận Bắc Từ Liêm
250,Thành phố Hà Nội,Huyện Mê Linh
268,Thành phố Hà Nội,Quận Hà Đông
269,Thành phố Hà Nội,Thị xã Sơn Tây
271,Thành phố Hà Nội,Huyện Ba Vì
272,Thành phố Hà Nội,Huyện Phúc Thọ
273,Thành phố Hà Nội,Huyện Đan Phượng
274,Thành phố Hà Nội,Huyện Hoài Đức
275,Thành phố Hà Nội,Huyện Quốc Oai
276,Thành phố Hà Nội,Huyện Thạch Thất
277,Thành phố Hà Nội,Huyện Chương Mỹ
278,Thành phố Hà Nội,Huyện Thanh Oai
279,Thành phố Hà Nội,Huyện Thường Tín
280,Thành phố Hà Nội,Huyện Phú Xuyên
281,Thành phố Hà Nội,Huyện Ứng Hòa
282,Thành phố Hà Nội,Huyện Mỹ Đức
24,Tỉnh Hà Giang,Thành phố Hà Giang
26,Tỉnh Hà Giang,Huyện Đồng Văn
27,Tỉnh Hà Giang,Huyện Mèo Vạc
28,Tỉnh Hà Giang,Huyện Yên Minh
29,Tỉnh Hà Giang,Huyện Quản Bạ
30,Tỉnh Hà Giang,Huyện Vị Xuyên
31,Tỉnh Hà Giang,Huyện Bắc Mê
32,Tỉnh Hà Giang,Huyện Hoàng Su Phì
33,Tỉnh Hà Giang,Huyện Xín Mần
34,Tỉnh Hà Giang,Huyện Bắc Quang
35,Tỉnh Hà Giang,Huyện Quang Bình
40,Tỉnh Cao Bằng,Thành phố Cao Bằng
42,Tỉnh Cao Bằng,Huyện Bảo Lâm
43,Tỉnh Cao Bằng,Huyện Bảo Lạc
45,Tỉnh Cao Bằng,Huyện Hà Quảng
47,Tỉnh Cao Bằng,Huyện Trùng Khánh
48,Tỉnh Cao Bằng,Huyện Hạ Lang
49,Tỉnh Cao Bằng,Huyện Quảng Hòa
51,Tỉnh Cao Bằng,Huyện Hoà An
52,Tỉnh Cao Bằng,Huyện Nguyên Bình
53,Tỉnh Cao Bằng,Huyện Thạch An
58,Tỉnh Bắc Kạn,Thành Phố Bắc Kạn
60,Tỉnh Bắc Kạn,Huyện Pác Nặm
61,Tỉnh Bắc Kạn,Huyện Ba Bể
62,Tỉnh Bắc Kạn,Huyện Ngân Sơn
63,Tỉnh Bắc Kạn,Huyện Bạch Thông
64,Tỉnh Bắc Kạn,Huyện Chợ Đồn
65,Tỉnh Bắc Kạn,Huyện Chợ Mới
66,Tỉnh Bắc Kạn,Huyện Na Rì
70,Tỉnh Tuyên Quang,Thành phố Tuyên Quang
71,Tỉnh Tuyên Quang,Huyện Lâm Bình
72,Tỉnh Tuyên Quang,Huyện Na Hang
73,Tỉnh Tuyên Quang,Huyện Chiêm Hóa
74,Tỉnh Tuyên Quang,Huyện Hàm Yên
